contamination,avg_anomaly_score,anomalies_count,score_variance
0.01,0.3614239585815476,1788,0.00025298265208872217
0.01473684210526316,0.3614239585815476,2635,0.00025298265208872217
0.019473684210526317,0.3614239585815476,3482,0.00025298265208872217
0.024210526315789474,0.3614239585815476,4329,0.00025298265208872217
0.02894736842105263,0.3614239585815476,5176,0.00025298265208872217
0.03368421052631579,0.3614239585815476,6023,0.00025298265208872217
0.03842105263157895,0.3614239585815476,6870,0.00025298265208872217
0.04315789473684211,0.3614239585815476,7717,0.00025298265208872217
0.04789473684210527,0.3614239585815476,8564,0.00025298265208872217
0.052631578947368425,0.3614239585815476,9411,0.00025298265208872217
0.05736842105263158,0.3614239585815476,10258,0.00025298265208872217
0.06210526315789474,0.3614239585815476,11105,0.00025298265208872217
0.0668421052631579,0.3614239585815476,11952,0.00025298265208872217
0.07157894736842106,0.3614239585815476,12798,0.00025298265208872217
0.07631578947368421,0.3614239585815476,13643,0.00025298265208872217
0.08105263157894736,0.3614239585815476,14492,0.00025298265208872217
0.08578947368421053,0.3614239585815476,15339,0.00025298265208872217
0.09052631578947369,0.3614239585815476,16186,0.00025298265208872217
0.09526315789473684,0.3614239585815476,17033,0.00025298265208872217
0.1,0.3614239585815476,17880,0.00025298265208872217
