term,count,document_percent
vulnerability,3909,153.59528487229863
security,2722,106.95481335952847
flaw,2661,104.55795677799607
attack,2332,91.63064833005893
could,2243,88.1335952848723
attacker,1973,77.524557956778
said,1829,71.8664047151277
access,1755,68.95874263261297
threat,1727,67.85854616895874
user,1664,65.38310412573674
actor,1658,65.14734774066797
also,1493,58.66404715127701
system,1458,57.288801571709236
version,1439,56.54223968565816
code,1304,51.237721021611
file,1262,49.587426326129666
company,1168,45.89390962671906
Microsoft,1134,44.55795677799607
malicious,1129,44.3614931237721
researcher,1127,44.282907662082515
exploitation,1125,44.20432220039292
device,1083,42.55402750491159
exploited,1036,40.70726915520629
exploit,1016,39.921414538310415
CVSS,981,38.54616895874263
data,962,37.79960707269156
server,946,37.17092337917485
network,938,36.856581532416506
issue,912,35.83497053045186
score,909,35.717092337917485
update,855,33.59528487229863
used,827,32.4950884086444
RCE,827,32.4950884086444
software,810,31.827111984282908
Security,795,31.237721021611005
arbitrary,791,31.08055009823183
critical,785,30.844793713163064
Windows,762,29.941060903732808
privilege,749,29.430255402750493
using,722,28.36935166994106
command,687,26.994106090373283
new,655,25.736738703339885
use,649,25.50098231827112
malware,648,25.461689587426328
come,647,25.422396856581532
service,640,25.147347740667975
Vulnerability,627,24.636542239685657
execute,619,24.32220039292731
released,614,24.125736738703342
Google,614,24.125736738703342
